"corridorPK","corridorID","corridorName"
120,"10A",Rusun Marunda - Tanjung Priok
121,JAK.85,Bintara - Cipinang Indah
122,JAK.120,JIS - Terminal Muara Angke
123,R1A,Pantai Maju - Kota
124,"9A",PGC 2 - Grogol 2
125,"4F",Pinang Ranti - Pulo Gadung
126,"1K",Cibubur Junction - Blok M
127,JAK.43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang
128,"8E",Bintaro - Blok M
129,JAK.19,Pinang Ranti - Kampung Rambutan
130,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan
131,"9N",Pinang Ranti - Pramuka
132,JAK.75,Cililitan - Kp. Pulo
133,JAK.112,Terminal Tanah Merah - Pulo Gadung
134,JAK.08,Roxy - Benhil
135,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol
136,"12C",Rusun Waduk Pluit - Penjaringan
137,JAK.77,Tanjung Priok - Jembatan Item
138,"8D",Joglo - Blok M
139,JAK.38,Bulak Ringin - Kampung Rambutan
140,B13,Bekasi Barat - Blok M
141,"7P",Pondok Kelapa - BKN
142,JAK.44,Andara - Stasiun Universitas Pancasila
143,"9H",Blok M - Universitas Indonesia
144,"8M",S. Parman - Tanah Abang
145,M4,Pulo Gadung 2 - Dukuh Atas 2
146,JAK.17,Senen - Pulo Gadung
147,"6A",Ragunan - MH Thamrin via Kuningan
148,JAK.60,Kelapa Gading - Rusun Kemayoran
149,JAK.113,Rusun Sindang Koja - Kp. Sawah
150,JAK.84,Terminal Kampung Melayu - Kapin Raya
151,D32,Cinere - Bundaran Senayan
152,JAK.46,Pasar Minggu - Jagakarsa
153,M7B,BKN - Blok M
154,JIS3,Harmoni - Jakarta International Stadium
155,M9,Pinang Ranti - Pluit
156,"13C",Puri Beta - Dukuh Atas
157,"3B",Rusun Flamboyan - Cengkareng
158,"2P",Gondangdia - Senen
159,M8,Lebak Bulus - Pasar Baru
160,JAK.20,Cawang UKI - Lubang Buaya
161,JAK.39,Kalimalang - Duren Sawit
162,"7C",Cibubur - BKN
163,"6N",Ragunan - Blok M via Kemang
164,"9C",Pinang Ranti - Bundaran Senayan
165,JAK.59,Rawamangun - Tanah Merah
166,BW9,Monas - Pantai Indah Kapuk
167,"1C",Pesanggrahan - Blok M
168,S11,BSD - Jelambar
169,"4C",TU Gas - Bundaran Senayan
170,JAK.16,Cililitan - Condet
171,M13,Puri Beta 2 - Tendean
172,"4E",Rusun Jatinegara Kaum - Pulo Gadung
173,"1H",Tanah Abang - Stasiun Gondangdia
174,JAK.15,Bulak Turi - Tanjung Priok
175,"5M",Kampung Melayu - Tanah Abang via Cikini
176,"8",Lebak Bulus - Pasar Baru via Tomang
177,JAK.36,Cilangkap - Cililitan
178,"6P",Cibubur - Kuningan
179,"1Q",Rempoa - Blok M
180,JAK.02,Kampung Melayu - Duren Sawit
181,"9E",Kebayoran Lama - Jelambar
182,JAK.32,Lebak Bulus - Petukangan
183,"3F",Kalideres - Gelora Bung Karno
184,"1B",Stasiun Palmerah - Tosari
185,"5N",Kampung Melayu - Ragunan
186,B21,Bekasi Timur - Cawang
187,"3",Kalideres - Bundaran HI via Veteran
188,JAK.03,Lebak Bulus - Andara
189,"7",Kampung Rambutan - Bidara Cina
190,JAK.14,Tanah Abang - Meruya
191,JAK.33,Pulo Gadung - Kota
192,JAK.30,Grogol - Meruya via Roxy
193,S12,BSD Serpong - Fatmawati
194,S22,Ciputat - Kampung Rambutan
195,JAK.88,Terminal Tanjung Priok - Ancol Barat
196,"1M",Meruya - Blok M
197,"12P",St. LRT Pegangsaan Dua - JIS
198,"4D",Pulo Gadung 2 - Kuningan
199,JAK.45,Lebak Bulus - Ragunan
200,JAK.21,Cililitan - Dwikora
201,"14",Jakarta International Stadium - Senen
202,"2Q",Gondangdia - Balai Kota
203,JAK.54,Grogol - Benhil
204,M2,Pulo Gadung - Monas
205,"11N",Rusun Cipinang Muara - Jatinegara
206,JAK.28,Kp. Rambutan - Taman Wiladatika
207,M12,Sunter Boulevard Barat - Penjaringan
208,"3H",Jelambar - Kota
209,JAK.99,Term. Pulo Gadung - Lampiri
210,"9",Pinang Ranti - Pluit
211,M1,Blok M - Kota
212,"5B",Stasiun Tebet - BNN
213,"11B",Rusun Rawa Bebek - Penggilingan
214,"9F",Rusun Tambora - Pluit
215,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben
216,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan
217,JAK.24,Senen - Pulo Gadung via Kelapa Gading
218,"11C",Rusun Pinus Elok - Rusun Pulo Gebang
219,M5,Matraman Baru - Ancol
220,"1R",Senen - Tanah Abang
221,"7B",Kampung Rambutan - Blok M
