"stopPK","sourceStopID","stopName","stopLat","stopLon"
95,B03323P,SD Diakonia 2,-6.112346,106.78905
96,P00073,GOR Sumantri,-6.221618,106.832245
97,P00210,RSPAD,-6.175485,106.83674
98,P00233,St. Jatinegara 2,-6.215601,106.86805
99,B03133P,RS Duren Sawit,-6.229777,106.90969
100,B03270P,Rusun Cipinang Besar Selatan,-6.231625,106.88288
101,B02760P,Pertamina Kalideres Daan Mogot,-6.15571,106.70927
102,P00142,Pal Putih,-6.184631,106.84402
103,B01131P,Jln. H. Nasir Srengseng,-6.205389,106.75825
104,P00235,Stasiun Tebet,-6.225503,106.85814
105,B01990P,Klinik Hemodialisa Pandaoni Medika,-6.202247,106.89073
106,B02775P,Pertigaan H. Sadjim 3,-6.305788,106.91087
107,B02665P,Ps. Pondok Bambu 1,-6.238102,106.90243
108,B05775P,Tosari 3,-6.200069,106.82335
109,B06552P,Jln. Pisangan Baru Utara 1,-6.208584,106.86702
110,P00119,Kuningan Barat,-6.23725,106.82794
111,B00842P,Jln. Al Falah Duri Kosambi,-6.178709,106.71726
112,B05708P,Term. Kampung Rambutan,-6.308964,106.88165
113,B01242P,Jln. Kb. Pala II,-6.214256,106.8618
114,B02723P,Penas Kalimalang 2,-6.239095,106.87826
115,B05866P,Wahidin 1,-6.169862,106.83936
116,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506
117,B01230P,Jln. Kb. Bawang XIII,-6.11557,106.88687
118,P00109,Matraman Baru,-6.21288,106.86115
119,B00080P,Aston Pluit 2,-6.124268,106.79419
120,P00216,Semanggi,-6.22111,106.81354
121,P00105,Kayu Putih Rawasari,-6.187453,106.87542
122,B06902P,Jln. Swasembada Timur 5,-6.124986,106.893289
123,B00695P,Grand Wijaya Dharmawangsa,-6.254752,106.80034
124,B01787P,JPO Blok G,-6.188861,106.81135
125,P00101,Kampung Rambutan,-6.309885,106.88216
126,B02656P,Ps. Palmerah 2,-6.207194,106.79624
127,P00164,Pejaten,-6.278404,106.82972
128,P00206,RS Harapan Kita Arah Utara,-6.184489,106.79674
129,P00036,Cempaka Putih,-6.174207,106.87642
130,B05700P,Term. Bayangan Kota Intan,-6.130949,106.81172
131,P00208,RS Sumber Waras,-6.166294,106.79675
132,B01745P,Jembatan Item,-6.130078,106.85492
133,P00254,Tendean,-6.240213,106.83102
134,P00016,BKN,-6.257751,106.87
135,P00047,Departemen Kesehatan,-6.228794,106.833205
136,B03277P,Rusun Kapuk Muara,-6.135667,106.76299
137,B01011P,Jln. Cipinang Timur Persahabatan,-6.202447,106.89344
138,B03226P,Rukan Teuku Umar,-6.195499,106.62391
139,B03322P,SD Diakonia 1,-6.112155,106.7893
140,B05666P,Tanah Abang 2,-6.181926,106.81409
141,B02045P,Komplek Keuangan,-6.234028,106.84417
142,P00174,Perumnas Klender,-6.216689,106.93054
